"xcoord","ycoord","site","case","cover","density","canopy.closure","basal.area","live.stems","v.comp","dom.sp.per","age","height","f_hab","n_hab"
519683.712,5579974.415,"MTC",1,"TC","DE",80,56.290298,659,4,95,73,26.1,3,2
519910.319,5578646.199,"MTC",1,"TC","DE",70,49.270821,628,4,70,103,25.6,3,1
520207.662,5576620.23,"MTC",1,"TC","DE",65,49.449196,485,4,30.1,103,29.9,3,3
519770.435,5576383.667,"MTC",1,"TC","DE",75,66.00042,452,4,60,158,36,-2,-2
520092.774,5576255.246,"MTC",1,"TC","OP",60,46.508469,493,3,100,133,29.1,1,0
520109.206,5576823.015,"MTC",1,"TC","SP",11,NA,1382,NA,70,2,0.6,1,0
520308.265,5576401.561,"MTC",1,"TC","OP",60,50.844021,680,3,35,73,25.7,3,2
520026.633,5577111.148,"MTC",1,"TC","DE",15,14.36272,110,3,70,138,37.4,3,1
520047.721,5577091.126,"MTC",1,"TC","DE",15,14.36272,110,3,70,138,37.4,3,1
520131.949,5576119.594,"MTC",1,"TC","OP",60,46.508469,493,3,100,133,29.1,3,1
520405.193,5576300.772,"MTC",1,"TC","OP",60,50.844021,680,3,35,73,25.7,3,3
520066.402,5576289.607,"MTC",1,"TC","OP",60,46.508469,493,3,100,133,29.1,3,1
519878.032,5576087.662,"MTC",1,"TC","DE",75,66.00042,452,4,60,158,36,3,1
520893.796,5575442.845,"MTC",1,"TC","OP",55,50.16288,766,3,70,53,23.1,1,1
518912.163,5575606.598,"MTC",1,"TC","OP",60,55.468193,424,3,80,103,34.1,3,3
520853.919,5575224.321,"MTC",1,"TC","DE",65,38.691299,921,3,70,53,22.8,3,2
520658.633,5575508.729,"MTC",1,"TC","OP",55,43.876591,459,3,80,83,29.8,2,0
520787.359,5575913.913,"MTC",1,"TC","OP",30,16.212841,798,3,60,53,16.5,1,0
520949.49,5575826.682,"MTC",1,"TC","OP",30,16.212841,798,3,60,53,16.5,1,0
521083.759,5575866.031,"MTC",1,"TC","OP",30,16.212841,798,3,60,53,16.5,1,0
523381.283,5574378.35,"MTC",1,"TC","DE",85,49.535007,1030,3,50,53,22.8,2,1
432466.368,5509051.272,"RLK",1,"TC","DE",60,65.647224,419,2,50,122,33.8,3,3
425874.969,5508449.649,"RLK",1,"TC","SP",20,7.17952,660,NA,45,17,9.3,3,1
432696.7,5508068.466,"RLK",1,"TC","DE",65,35.823952,1171,3,50,112,15.9,2,1
431208.857,5509755.657,"RLK",1,"TC","DE",80,45.385841,2282,2,70,59,19.1,2,1
426596.559,5505938.153,"RLK",1,"TC","DE",70,67.417702,454,4,80,122,34.4,3,2
423891.861,5504755.785,"RLK",1,"TB","DE",70,36.556942,605,3,65,52,20.7,3,2
426651.466,5504648.459,"RLK",1,"TC","DE",80,72.574791,512,3,75,82,32.8,3,2
424931.132,5504319.717,"RLK",1,"TC","DE",65,51.90728,596,4,50,72,26.3,3,2
427415.174,5507127.642,"RLK",1,"TC","DE",65,61.490501,387,2,90,82,36.1,3,3
427398.017,5507097.063,"RLK",1,"TC","DE",65,61.490501,387,2,90,82,36.1,3,3
427433.626,5507064.067,"RLK",1,"TC","DE",65,61.490501,387,2,90,82,36.1,3,3
427488.701,5507299.383,"RLK",1,"TC","DE",65,61.490501,387,2,90,82,36.1,3,3
424880.694,5506273.947,"RLK",1,"TC","DE",75,49.795208,614,3,80,102,28.7,3,3
427477.212,5507032.286,"RLK",1,"TC","DE",65,66.233459,378,3,70,152,40.1,3,3
427484.99,5507021.895,"RLK",1,"TC","DE",65,66.233459,378,3,70,152,40.1,3,3
427477.006,5507033.546,"RLK",1,"TC","DE",65,66.233459,378,3,70,152,40.1,3,3
438193.792,5498295.759,"SKA",1,"TC","DE",70,59.816128,512,3,60,78,31.3,3,3
437928.41,5497823.449,"SKA",1,"TC","DE",55,45.284172,429,3,50,73,31.7,3,2
437884.373,5497973.586,"SKA",1,"TC","DE",55,45.284172,429,3,50,73,31.7,3,2
436707.099,5497793.524,"SKA",1,"TC","DE",65,56.029621,423,3,60,123,33.5,3,2
437624.324,5497980.009,"SKA",1,"SL","OP",NA,0,0,NA,NA,NA,NA,1,0
438510.36,5498512.709,"SKA",1,"TC","DE",70,59.816128,512,3,60,78,31.3,3,1
438851.602,5495991.753,"SKA",1,"TC","OP",55,58.507214,244,3,70,98,32.7,2,1
438393.934,5495627.151,"SKA",1,"TC","DE",65,68.970558,390,3,60,113,36.3,3,3
438554.268,5495725.672,"SKA",1,"TC","DE",65,71.822861,367,3,60,118,39.2,3,2
437608.317,5496286.317,"SKA",1,"TC","OP",45,37.26516,426,3,45,243,28.9,3,2
438040.457,5496114.533,"SKA",1,"TC","OP",55,48.086033,539,2,55,68,28,3,2
438133.956,5495028.48,"SKA",1,"TC","OP",35,30.078579,397,3,70,313,21.7,2,2
439275.563,5494441.39,"SKA",1,"TM","DE",65,29.251328,729,2,70,57,18.1,1,1
433774.601,5494542.702,"SKA",1,"TC","DE",70,56.974258,607,2,75,67,27.8,3,2
436300.787,5494921.771,"SKA",1,"TC","OP",50,40.387592,694,2,60,58,23.5,2,1
436377.484,5493931.504,"SKA",1,"TC","OP",55,44.885559,629,2,55,62,26.1,1,0
438485.533,5495007.106,"SKA",1,"TC","DE",70,50.262993,1086,2,60,57,25.3,2,2
438459.583,5493920.511,"SKA",1,"TC","OP",55,55.999996,255,4,70,337,42.3,3,2
439508.005,5494735.31,"SKA",1,"TC","OP",20,25.99999,145,3,90,337,44.3,3,1
440908.199,5493708.035,"SKA",1,"TC","DE",65,67.846237,346,3,100,102,40.4,3,2
440462.202,5493521.79,"SKA",1,"TC","OP",55,58.786537,273,3,60,92,39.8,3,1
438516.293,5495537.173,"SKA",1,"TC","DE",65,68.970558,390,3,60,113,36.3,1,0
437478.246,5494867.382,"SKA",1,"TC","OP",45,30.05917,397,3,85,313,21.7,1,0
437249.019,5494228.645,"SKA",1,"TC","OP",60,51.394669,2165,2,65,49,20.4,1,0
441157.78,5492091.515,"SKA",1,"TC","OP",60,58.40379,223,3,80,132,35.3,3,2
437584.301,5492465.023,"SKA",1,"TC","OP",60,50.80872,655,2,70,64,24.7,1,0
440627.298,5492539.503,"SKA",1,"TC","DE",70,75.778328,373,3,85,107,40.1,3,3
439141.636,5492164.463,"SKA",1,"TC","DE",15,18.000019,50,3,90,337,43.3,3,3
438979.866,5491994.148,"SKA",1,"TC","DE",15,18.000019,50,3,90,337,43.3,3,3
438851.348,5493254.781,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
438792.941,5492629.445,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
438959.887,5493319.096,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
439524.834,5493438.494,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
439237.162,5493377.559,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
439260.081,5493101.137,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
439001.442,5493704.046,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
438543.529,5492397.976,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
438813.605,5492646.483,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
438397.405,5493274.145,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
438843.975,5492620.515,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
438733.439,5492267.459,"SKA",1,"TC","DE",75,56.410248,689,2,70,107,29.6,3,3
438361.362,5494166.881,"SKA",1,"TC","DE",65,49.79834,490,2,70,92,26.9,3,3
439280.157,5491449.591,"SKA",1,"TC","OP",55,49.405571,2397,3,50,60,31.9,2,1
440091.459,5491500.095,"SKA",1,"TC","DE",65,57.623138,419,3,75,102,34,3,3
439278.319,5491295.54,"SKA",1,"TC","DE",70,62.500629,534,2,75,62,31.6,3,3
439138.381,5491536.521,"SKA",1,"TC","DE",70,62.500629,534,2,75,62,31.6,3,2
439247.567,5491379.268,"SKA",1,"TC","DE",70,62.500629,534,2,75,62,31.6,3,2
437157.809,5491055.479,"SKA",1,"TC","DE",65,57.522812,458,2,50,69,28.6,1,0
439128.661,5491091.077,"SKA",1,"TC","OP",55,37.05476,2674,3,60,49,23.6,1,0
439154.978,5492062.588,"SKA",1,"TC","OP",55,37.05476,2674,3,60,49,23.6,1,0
439142.857,5491029.952,"SKA",1,"TC","OP",55,58,225,3,80,337,45.3,1,0
440444.787,5491027.111,"SKA",1,"TC","OP",55,49.405571,2397,3,50,60,31.9,2,1
440428.069,5491077.145,"SKA",1,"TC","OP",55,49.405571,2397,3,50,60,31.9,2,1
439837.167,5490936.559,"SKA",1,"TC","DE",70,65.273613,515,2,70,82,31,3,3
438749.652,5490443.098,"SKA",1,"TC","OP",55,35.740578,580,3,75,97,24.6,3,3
441521.365,5489884.587,"SKA",1,"TC","OP",50,42.417618,415,3,70,132,30.1,3,3
441657.637,5489437.823,"SKA",1,"TC","OP",50,42.417618,415,3,70,132,30.1,3,3
440654.097,5488318.018,"SKA",1,"TC","OP",55,40.984951,799,3,46,47,28.8,2,2
440673.566,5488263.843,"SKA",1,"TC","OP",55,40.984951,799,3,46,47,28.8,2,2
441928.843,5488528.116,"SKA",1,"TC","OP",50,43.896118,772,3,60,34,21.8,2,1
440469.695,5490258.31,"SKA",1,"TC","DE",65,57.286507,416,3,75,102,34,3,3
439982.011,5489040.536,"SKA",1,"TC","DE",65,65.246201,375,3,70,97,31,3,3
439458.355,5489108.388,"SKA",1,"TC","DE",65,65.246201,375,3,70,97,31,3,3
436700.711,5489984.295,"SKA",1,"TC","DE",65,63.127628,865,2,70,75,36.8,1,0
438826.709,5486179.679,"SKA",1,"TC","OP",45,17.04764,1419,NA,60,23,12.7,1,0
519174.531,5580244.515,"MTC",0,"TC","OP",55,37.804661,457,3,100,173,28.7,3,2
519674.531,5580244.515,"MTC",0,"TC","DE",65,46.03878,599,3,95,73,26.1,1,0
518674.531,5579744.515,"MTC",0,"TC","OP",60,50.428032,445,3,100,123,31.4,3,3
519674.531,5579744.515,"MTC",0,"TC","OP",55,46.495384,363,4,90,133,32.3,3,3
519674.531,5579244.515,"MTC",0,"SL","OP",5,8.63845,715,3,100,43,17.4,1,0
520174.531,5579244.515,"MTC",0,"TC","OP",45,30.030611,363,3,100,213,28.5,3,2
520174.531,5579744.515,"MTC",0,"TC","OP",60,59.823547,424,3,90,193,35.7,3,2
519174.531,5579744.515,"MTC",0,"TC","DE",70,49.284241,593,3,100,93,27,3,1
520674.531,5578744.515,"MTC",0,"TC","OP",45,30.030611,363,3,100,213,28.5,3,2
519674.531,5578744.515,"MTC",0,"SL","OP",5,8.63845,715,3,100,43,17.4,1,0
520174.531,5578744.515,"MTC",0,"TC","OP",40,40.050419,306,4,70,213,33.6,3,2
518174.531,5579244.515,"MTC",0,"TC","DE",75,35.404728,1376,2,90,48,18.8,2,0
519174.531,5579244.515,"MTC",0,"HE","SP",5,2.18667,195,3,100,43,14.5,1,0
518674.531,5578744.515,"MTC",0,"TC","OP",55,39.07309,461,4,60,163,28.8,1,0
518674.531,5579244.515,"MTC",0,"TC","OP",40,18.95116,1433,2,90,31,15.3,1,0
518174.531,5578744.515,"MTC",0,"TC","OP",50,30.07609,646,3,90,93,21.7,3,0
519174.531,5578744.515,"MTC",0,"TC","DE",65,42.950199,563,2,90,113,26.4,3,3
521674.531,5578244.515,"MTC",0,"TC","OP",35,25.066019,310,3,95,213,28.5,3,1
520674.531,5579244.515,"MTC",0,"TC","SP",5,1.43421,140,3,100,103,12.8,2,1
521174.531,5578744.515,"MTC",0,"TC","SP",25,12.21946,354,3,90,133,19.8,3,1
517674.531,5578244.515,"MTC",0,"TC","OP",40,29.063419,456,3,100,113,25.4,3,3
518674.531,5578244.515,"MTC",0,"TC","OP",55,39.07309,461,4,60,163,28.8,3,1
518174.531,5578244.515,"MTC",0,"TC","SP",15,9.43822,227,3,80,83,19.8,3,1
519174.531,5578244.515,"MTC",0,"TC","OP",45,26.54015,729,2,100,58,19.5,3,1
519674.531,5578244.515,"MTC",0,"TC","DE",70,57.377361,484,3,90,133,31.2,3,3
520174.531,5578244.515,"MTC",0,"TC","SP",10,5.79546,589,3,70,23,9.1,3,3
519674.531,5577744.515,"MTC",0,"TC","DE",70,57.377361,484,3,90,133,31.2,3,2
520174.531,5577744.515,"MTC",0,"TM","DE",80,41.568367,1243,3,40,53,19.1,2,1
517674.531,5577744.515,"MTC",0,"TC","SP",20,17.9837,241,3,100,213,27.5,0,0
518174.531,5577744.515,"MTC",0,"TM","SP",11,NA,1122,NA,50,6,0.8,1,0
519174.531,5577744.515,"MTC",0,"TC","OP",55,45.677452,363,4,70,153,33,3,3
518674.531,5577744.515,"MTC",0,"HE","OP",5,12.53524,933,3,60,38,11.7,3,1
520174.531,5577244.515,"MTC",0,"TC","DE",15,14.36272,110,3,70,138,37.4,3,2
522674.531,5577244.515,"MTC",0,"TC","OP",55,47.993561,367,3,100,213,33.6,3,1
519174.531,5577244.515,"MTC",0,"TC","OP",60,52.030838,432,3,70,98,32.2,3,2
517674.531,5577244.515,"MTC",0,"TB","DE",65,36.14529,490,3,40,83,24.7,2,2
518174.531,5577244.515,"MTC",0,"TC","SP",20,18.8608,278,3,70,83,25.4,3,2
